Employee Name,Employee ID,Applicant Source,Status,CV Submission Date,CV Review,HR Interview Date,HR Interview,Hiring  Date,Manager Interview,Gender,Department,Job Type,Exit Date,Exit Type,Exit Reason,Years of Experience,Salary,Bonus,Last Performance Rating,Promotion Date,Training Hours Completed,Satisfaction Score,Engagement Score,Number of  Leaves
Kathy Wiley,f7b90daf,Agency,Hired,23-07-2021,Failed,05-04-2022,Failed,19-09-2020,Failed,Other,Sales,Contract,23-11-2022,Involuntary,Retirement,1,85079,2995,5,17-12-2020,144,9,9,12
Barbara Martinez,b21c03c2,Online Application,Hired,11-12-2022,Failed,21-07-2024,Passed,19-06-2022,Passed,Female,Marketing,Contract,23-04-2023,Involuntary,Other,9,88677,8311,1,18-12-2020,62,8,7,9
Maria Williams,1c814f47,Internal,New hire,13-11-2023,Failed,07-02-2023,Failed,12-06-2021,Passed,Female,Sales,Part-time,,Voluntary,Retirement,25,106846,1106,1,19-12-2020,42,7,1,5
Joshua Lara,e518d540,Online Application,Hired,23-10-2022,Passed,11-01-2023,Passed,19-08-2020,Passed,Female,Operations,Contract,15-03-2024,Voluntary,Personal Reasons,30,130333,11096,2,20-12-2020,31,4,2,3
Walter Mclean,dedef858,Agency,Hired,09-09-2023,Failed,19-04-2023,Passed,08-12-2020,Failed,Other,Marketing,Full-time,,,Personal Reasons,18,55738,16517,5,21-12-2020,166,1,2,15
Marcus Gordon,45f90e7c,Online Application,New hire,16-11-2022,Passed,11-03-2024,Passed,12-09-2020,Failed,Female,Sales,Contract,18-05-2020,Voluntary,Retirement,14,90974,17774,1,22-12-2020,103,6,5,13
Brenda Carpenter,abf624d3,Internal,Hired,10-09-2022,Failed,02-03-2020,Passed,23-11-2023,Passed,Male,Finance,Full-time,18-05-2020,Involuntary,Termination,19,95769,7400,4,29-05-2023,43,8,6,1
Joanna Brown,acc30054,Agency,New hire,23-12-2023,Passed,18-07-2020,Passed,25-08-2023,Failed,Other,Marketing,Part-time,28-03-2021,Involuntary,Personal Reasons,11,93383,11670,5,,27,3,7,9
Samantha Rodriguez,060f37d3,Agency,Hired,14-11-2020,Passed,03-04-2022,Passed,29-06-2024,Failed,Male,Marketing,Full-time,,,Layoff,24,118773,10344,5,,0,6,10,12
Cynthia Cooke,d3e99d84,Agency,Hired,27-12-2023,Passed,09-11-2020,Failed,07-07-2024,Failed,Female,Finance,Contract,,Involuntary,Termination,30,127379,1495,4,,112,10,5,3
Ryan Rivera,bbbee838,Online Application,New hire,02-10-2022,Failed,01-01-2020,Passed,25-01-2021,Passed,Female,Sales,Contract,08-02-2020,Involuntary,Other,26,61231,11698,5,,128,4,2,15
Jonathan Bean,ca699300,Online Application,Hired,15-07-2024,Failed,01-05-2022,Passed,14-02-2021,Passed,Male,IT,Contract,,Involuntary,Termination,10,98220,9975,2,,128,2,3,10
Jennifer Young,a4b61e34,Online Application,Hired,05-02-2023,Failed,05-10-2022,Passed,07-08-2021,Failed,Male,IT,Contract,18-05-2020,,Other,3,57140,4001,4,05-11-2022,39,3,4,2
Lindsey Smith,ec2576de,Online Application,Hired,19-07-2020,Failed,11-06-2024,Failed,10-06-2020,Passed,Female,HR,Full-time,30-08-2023,Voluntary,Retirement,21,115561,19505,4,,24,3,8,14
Hailey White,584221ed,Internal,Hired,06-07-2022,Passed,13-01-2021,Passed,18-07-2023,Failed,Other,Sales,Contract,18-05-2020,Voluntary,Other,15,139855,18621,3,25-12-2022,90,2,7,1
Kathleen Goodman DVM,c46499d6,Agency,Hired,04-12-2020,Passed,13-02-2024,Failed,24-03-2024,Passed,Male,Sales,Full-time,26-04-2020,,,1,146651,1703,1,,128,10,10,7
Leah Matthews,b3b78ebc,Internal,Hired,05-09-2023,Failed,19-12-2023,Passed,11-01-2022,Failed,Male,Sales,Contract,12-08-2024,Voluntary,Retirement,8,53631,4612,1,,146,9,6,1
Mark Rose,4f2ed6ea,Agency,Hired,17-12-2023,Passed,26-03-2020,Passed,26-05-2020,Failed,Female,Sales,Contract,,Voluntary,Retirement,14,117298,7181,2,,162,10,10,9
Christopher Malone,ac04feda,Agency,Hired,25-12-2021,Passed,01-12-2020,Failed,06-05-2023,Passed,Female,Marketing,Full-time,,Involuntary,Termination,18,110285,4226,5,,18,8,4,14
Kristie Knapp,271ced71,Online Application,New hire,14-06-2020,Passed,30-05-2020,Passed,10-08-2022,Passed,Female,IT,Full-time,,Voluntary,Personal Reasons,27,144485,13538,4,,124,2,5,2
Melanie Neal,47e0e132,Internal,Hired,19-10-2020,Passed,09-08-2023,Failed,03-09-2020,Passed,Other,Finance,Part-time,18-05-2020,Voluntary,,20,139998,14572,4,09-02-2023,126,3,9,1
John Marshall,35b3c6fd,Online Application,Hired,15-03-2022,Passed,19-08-2021,Failed,25-11-2023,Failed,Other,Marketing,Part-time,05-05-2021,Voluntary,Termination,27,62337,14922,5,10-02-2023,103,6,5,4
Jessica Mitchell,d009c9b4,Agency,Hired,29-08-2021,Failed,21-08-2024,Passed,01-01-2024,Failed,Male,Finance,Contract,,Voluntary,Retirement,15,132974,15427,4,11-02-2023,124,3,9,2
Kyle Morris,11a8fca9,Agency,Hired,01-03-2020,Failed,07-04-2020,Passed,27-09-2023,Failed,Other,HR,Contract,28-12-2021,Involuntary,Termination,28,137733,11043,1,12-02-2023,172,3,7,2
Patrick Jensen,7829fbc1,Online Application,Hired,19-03-2024,Passed,27-01-2021,Failed,11-03-2023,Failed,Female,Marketing,Full-time,03-06-2024,Voluntary,,14,109167,4055,1,13-02-2023,111,6,3,1
Valerie Gordon,16ed9ecb,Agency,Hired,17-08-2021,Failed,11-06-2020,Failed,06-10-2021,Passed,Other,Marketing,Contract,05-02-2021,Voluntary,Personal Reasons,23,69657,13848,3,14-02-2023,168,9,4,0
Donna Francis,504cff97,Agency,Hired,19-04-2020,Failed,13-05-2023,Passed,13-07-2020,Failed,Male,Sales,Contract,,Involuntary,,11,125410,2487,5,15-02-2023,189,5,7,5
Gloria Rose,cdc5e662,Agency,Hired,05-07-2023,Failed,14-08-2020,Failed,22-01-2023,Passed,Male,Finance,Contract,18-05-2020,Involuntary,Layoff,2,42049,3785,4,06-04-2022,162,6,7,7
Lori Key,c081f34a,Internal,New hire,25-12-2022,Failed,23-03-2022,Failed,13-01-2023,Failed,Female,Operations,Full-time,18-05-2020,Voluntary,,2,133307,4970,5,12-08-2024,68,2,8,4
Michelle Schneider,e7e03d63,Internal,Hired,03-09-2024,Failed,03-08-2021,Failed,15-05-2024,Passed,Male,IT,Part-time,,Involuntary,Retirement,1,85804,3859,1,,81,10,10,7
Brian Holmes,2edcf3c7,Agency,Hired,02-10-2022,Failed,05-02-2021,Failed,13-10-2023,Failed,Other,Marketing,Full-time,18-05-2020,Involuntary,Personal Reasons,17,134904,3122,2,18-09-2021,57,5,4,14
Diana King,e1cd6dc5,Agency,Hired,05-10-2022,Failed,08-10-2021,Passed,04-10-2023,Failed,Other,Marketing,Contract,,Voluntary,Personal Reasons,3,84529,8904,3,,174,5,4,3
Timothy Nguyen,11a040a8,Internal,Hired,26-08-2020,Passed,06-09-2022,Failed,09-01-2021,Failed,Other,IT,Full-time,18-05-2020,Involuntary,Personal Reasons,29,58803,7799,2,12-02-2020,7,1,1,9
Kimberly Young,cfbb6100,Internal,Hired,05-08-2022,Passed,03-11-2023,Failed,12-02-2020,Passed,Male,Operations,Part-time,18-05-2020,Voluntary,Termination,6,110613,3079,5,04-09-2020,189,7,2,2
Christopher Wise,9aab63ff,Online Application,Hired,06-04-2023,Passed,27-04-2023,Passed,26-05-2022,Passed,Female,Marketing,Contract,,Involuntary,,13,144680,5856,3,,102,3,4,10
Kevin Davidson,d4a5fa05,Online Application,Hired,07-05-2023,Failed,20-09-2023,Passed,27-03-2024,Failed,Female,Marketing,Part-time,,Involuntary,Termination,25,64476,9986,4,,0,3,8,15
Hannah Cook,f420e28c,Agency,Hired,09-09-2020,Failed,22-07-2020,Passed,18-10-2021,Failed,Male,IT,Contract,,Voluntary,,17,131185,3569,5,,83,1,4,15
Cody Mckinney,b22cc800,Agency,Hired,04-06-2021,Passed,27-01-2023,Passed,16-03-2022,Failed,Female,IT,Contract,18-05-2020,Voluntary,Other,15,123170,17351,1,27-07-2020,175,6,9,0
Jackie Peters,58d1233f,Online Application,Hired,25-07-2020,Failed,23-02-2021,Failed,22-04-2024,Passed,Other,Operations,Part-time,,Voluntary,Retirement,11,61460,19039,4,28-07-2020,173,2,9,10
Lindsay Cook,71738599,Internal,New hire,10-12-2020,Passed,30-11-2022,Failed,16-03-2023,Failed,Male,Marketing,Part-time,07-04-2023,,Retirement,17,44619,19574,1,29-07-2020,28,10,3,15
Vincent Alvarado,97942f6f,Agency,Hired,07-08-2023,Failed,30-01-2024,Failed,30-04-2020,Passed,Other,Sales,Full-time,,,Retirement,27,46652,1102,3,30-07-2020,79,5,10,5
Dustin Meyers,68f88c9c,Online Application,New hire,16-02-2024,Failed,18-08-2023,Failed,04-02-2024,Failed,Female,HR,Part-time,08-09-2022,Voluntary,Personal Reasons,7,42315,11551,2,17-03-2021,48,10,6,5
Shannon Miller,ff0f1337,Internal,Hired,12-04-2024,Failed,02-12-2023,Passed,19-05-2020,Passed,Male,Finance,Contract,,Involuntary,Termination,22,75201,19970,2,,7,7,10,6
Catherine Martinez,f2d05b56,Online Application,New hire,01-01-2024,Passed,22-05-2023,Passed,13-03-2022,Failed,Male,Sales,Contract,05-03-2024,,Layoff,11,43411,12018,2,23-06-2020,119,1,4,2
Patricia Johnson,125371ba,Agency,New hire,04-12-2023,Failed,09-12-2022,Failed,26-10-2022,Failed,Female,IT,Part-time,31-10-2023,,Termination,9,80245,6086,2,,189,8,9,2
Christopher Melton,0a4458b9,Agency,New hire,20-03-2024,Passed,03-05-2024,Failed,30-03-2022,Passed,Other,IT,Full-time,,Voluntary,Personal Reasons,15,54991,13424,3,,65,8,2,6
Mark Nash,28c24f39,Online Application,Hired,28-06-2023,Passed,13-09-2020,Failed,25-08-2021,Failed,Male,Marketing,Full-time,,,Termination,17,113537,16852,1,,74,8,10,5
Jeffrey Oliver,73fc6997,Internal,Hired,28-06-2023,Passed,19-10-2022,Failed,11-02-2020,Passed,Male,Sales,Part-time,,Voluntary,Layoff,26,61237,17630,5,,8,8,3,3
Chad Joseph,c015a1c1,Internal,Hired,05-04-2022,Failed,25-07-2022,Passed,09-11-2022,Passed,Other,IT,Contract,,Voluntary,Retirement,18,119612,5006,2,,107,3,6,9
Daniel Alexander,747b7591,Online Application,Hired,31-01-2022,Passed,11-02-2024,Failed,01-03-2022,Passed,Other,Finance,Part-time,18-05-2020,Involuntary,Layoff,16,76661,3376,2,01-02-2023,198,5,8,11
Bethany Pratt,d4d5c586,Agency,Hired,21-01-2023,Passed,22-06-2021,Passed,06-06-2020,Passed,Male,IT,Contract,18-05-2020,Voluntary,Personal Reasons,28,134624,10690,2,22-01-2022,131,2,7,10
Grace Bailey,059ef987,Online Application,Hired,16-12-2021,Failed,27-01-2024,Failed,22-02-2024,Passed,Female,HR,Part-time,12-06-2024,Involuntary,Other,12,125925,1557,3,,180,3,6,7
Teresa Arellano,f81ffb6b,Internal,Hired,20-07-2020,Failed,17-05-2020,Failed,14-08-2020,Failed,Male,IT,Part-time,18-05-2020,Voluntary,,6,85232,16038,3,29-05-2021,109,1,9,5
Christopher Ward,d05b9caa,Online Application,Hired,17-11-2023,Failed,16-02-2020,Passed,05-06-2023,Passed,Female,Finance,Contract,02-10-2020,Involuntary,Other,25,90281,16443,1,,169,6,6,4
Andrew Martin,3a13bbbc,Agency,New hire,05-12-2021,Failed,11-03-2023,Passed,02-10-2021,Failed,Male,HR,Part-time,07-09-2021,Voluntary,Personal Reasons,28,135205,8466,3,,8,2,3,15
Jason Gregory,d02ec5fe,Online Application,New hire,18-04-2020,Failed,08-05-2020,Passed,09-08-2024,Passed,Other,HR,Part-time,18-05-2020,Voluntary,Termination,28,142739,18435,5,31-03-2020,71,2,4,15
Vanessa Bennett,f8ff4fd1,Agency,New hire,06-07-2024,Passed,01-06-2023,Failed,15-10-2022,Passed,Other,HR,Full-time,,Voluntary,Retirement,6,73084,9530,4,,40,2,7,0
Heather Greene,41c300f3,Agency,Hired,27-04-2021,Failed,30-03-2024,Passed,03-03-2024,Failed,Female,Finance,Contract,11-09-2023,,Layoff,28,85208,16727,5,31-05-2023,137,6,3,2
Shawn Moody,a20c1d92,Online Application,Hired,05-10-2022,Failed,06-03-2024,Failed,13-11-2023,Failed,Female,Finance,Part-time,05-12-2021,Voluntary,Layoff,19,111597,7133,5,,131,7,3,0
Holly Cooley,75945f88,Online Application,Hired,30-06-2022,Passed,05-01-2024,Passed,01-03-2022,Passed,Male,Sales,Contract,,Involuntary,Other,17,56924,1152,3,27-05-2020,76,1,5,4
Angela West,96d2618e,Online Application,Hired,09-06-2020,Failed,27-02-2020,Failed,08-07-2021,Failed,Female,HR,Contract,,Voluntary,,3,87127,13274,5,,146,1,10,10
Kathleen Cook,3cefa4a0,Online Application,New hire,24-09-2021,Failed,29-12-2020,Failed,31-03-2020,Failed,Other,Sales,Part-time,02-06-2022,Involuntary,Personal Reasons,3,53876,4029,4,,149,1,10,2
Lauren Huff,eb167d71,Online Application,New hire,10-04-2024,Passed,16-08-2021,Passed,05-09-2022,Passed,Female,Operations,Full-time,04-07-2023,Involuntary,,4,136574,8058,2,,137,2,4,1
Trevor Ellison,a0ed9a47,Agency,New hire,12-08-2020,Failed,12-07-2020,Passed,15-07-2021,Passed,Female,HR,Contract,,,,30,144893,13770,3,,19,10,4,2
Joseph Jacobs,690383b0,Internal,Hired,28-07-2021,Failed,04-10-2022,Passed,04-06-2021,Failed,Other,HR,Part-time,,Voluntary,Layoff,30,112798,9459,1,,135,3,6,0
Dr. Jennifer Scott MD,128ad242,Internal,Hired,07-01-2021,Failed,26-03-2021,Failed,04-02-2021,Passed,Male,HR,Contract,,Involuntary,Layoff,22,143217,4281,5,12-03-2020,13,6,1,13
Kelsey Sharp,6ebb84ab,Internal,Hired,25-12-2022,Passed,08-02-2024,Failed,20-07-2024,Passed,Other,IT,Part-time,15-07-2020,,Layoff,30,120676,7510,4,13-03-2020,83,9,7,12
Tiffany Simpson,28225722,Agency,Hired,21-11-2020,Failed,18-02-2022,Passed,06-01-2024,Passed,Female,Finance,Full-time,,Involuntary,,1,96794,16972,5,14-03-2020,132,8,8,12
Mallory Dalton,d8e63482,Agency,Hired,24-11-2022,Passed,24-05-2021,Failed,21-04-2024,Passed,Female,IT,Full-time,19-12-2023,Involuntary,Personal Reasons,2,61032,3545,2,15-03-2020,44,3,7,14
Kyle Miller,77939c68,Internal,Hired,24-01-2022,Passed,14-08-2021,Passed,24-10-2023,Passed,Female,Operations,Part-time,,Voluntary,Retirement,25,135775,19955,2,16-03-2020,83,9,3,15
Tara Fritz,4.57E+69,Online Application,New hire,04-01-2022,Failed,22-07-2021,Failed,05-08-2024,Failed,Male,Operations,Full-time,,Involuntary,Personal Reasons,13,148396,6766,5,17-03-2020,29,5,2,0
James Woods,9728ea99,Online Application,New hire,03-05-2024,Passed,30-05-2024,Passed,11-11-2020,Failed,Other,Sales,Full-time,,Involuntary,Personal Reasons,25,134148,14771,2,18-03-2020,190,5,10,9
Thomas Lopez,2bf69d5a,Online Application,Hired,31-07-2024,Failed,08-08-2023,Passed,30-06-2020,Failed,Female,Finance,Part-time,21-12-2022,,Termination,11,60490,4432,4,28-09-2022,9,6,9,15
Teresa Monroe,1d702492,Online Application,New hire,12-07-2022,Failed,09-02-2020,Passed,22-07-2024,Failed,Male,Operations,Full-time,,Voluntary,Layoff,12,88939,12420,3,,13,5,4,6
James Lewis,fff4a1c7,Internal,Hired,05-04-2024,Passed,13-05-2020,Failed,04-01-2024,Failed,Female,Marketing,Full-time,,Voluntary,Personal Reasons,30,120427,8328,1,24-11-2023,152,4,5,7
Suzanne Oconnor,83ea2cd7,Online Application,Hired,03-07-2020,Failed,06-07-2021,Failed,05-08-2020,Passed,Female,Operations,Part-time,,Involuntary,Layoff,1,94817,16249,5,,190,10,3,9
Leslie Jones,fc84c02b,Online Application,New hire,24-05-2023,Failed,13-01-2022,Passed,01-05-2022,Passed,Other,IT,Part-time,15-09-2020,,,13,42152,11489,1,,85,6,1,3
Tyler Newton,e8ffe0ab,Agency,Hired,24-05-2022,Failed,09-01-2021,Passed,26-03-2023,Failed,Female,Finance,Contract,10-08-2022,Voluntary,,14,64969,15231,3,11-09-2022,134,6,6,4
Samuel Hudson,29593a87,Agency,New hire,28-08-2024,Passed,05-04-2022,Passed,26-12-2023,Passed,Male,Sales,Contract,31-03-2023,Involuntary,Other,4,118749,11955,3,,168,6,2,12
Brenda Hamilton,9f931f35,Online Application,New hire,18-06-2020,Passed,17-06-2020,Failed,01-07-2020,Passed,Other,HR,Full-time,,Voluntary,Other,2,41488,10183,2,05-12-2022,155,6,9,0
Aaron Burton,b2024ffb,Agency,Hired,17-06-2020,Passed,12-10-2021,Failed,31-03-2021,Failed,Female,Operations,Full-time,03-11-2020,Voluntary,Termination,12,100596,16912,3,26-11-2021,112,10,1,9
Michelle Berry,c56ba89c,Online Application,Hired,04-12-2022,Failed,09-01-2021,Passed,21-03-2023,Failed,Male,Finance,Full-time,,,Layoff,12,73003,16104,5,,24,1,10,3
Dr. Kristina Ross MD,762d9889,Internal,Hired,20-02-2022,Failed,23-07-2023,Passed,18-02-2023,Failed,Male,Sales,Part-time,03-11-2020,Voluntary,,22,48910,18067,4,19-08-2021,7,6,2,7
Jordan Miller,9bb9ecd1,Online Application,New hire,06-01-2023,Failed,08-09-2021,Failed,24-10-2022,Passed,Male,Finance,Contract,,Voluntary,Termination,1,130061,11586,4,,193,6,1,9
Alyssa Mejia,d2c3980e,Online Application,Hired,29-07-2021,Passed,12-12-2021,Passed,07-08-2024,Passed,Male,HR,Part-time,14-07-2023,Involuntary,,21,120087,9999,3,,90,10,2,10
Nathan Hale,d76dd96c,Internal,Hired,30-05-2024,Failed,15-01-2020,Failed,14-02-2023,Failed,Male,Sales,Contract,,Involuntary,Termination,3,64506,13086,2,,3,10,10,10
Nathan Meyers,1f955429,Online Application,Hired,14-02-2024,Failed,12-06-2022,Failed,27-10-2023,Passed,Other,IT,Part-time,03-11-2020,,Personal Reasons,24,127272,2200,4,18-06-2024,0,9,8,12
Michael Wright,80a7be80,Internal,New hire,23-06-2020,Passed,05-06-2021,Failed,11-12-2022,Failed,Male,Marketing,Contract,,Voluntary,Other,25,107615,2820,2,,200,8,8,0
Jeffrey Jackson,44adab81,Agency,New hire,10-02-2021,Passed,04-10-2022,Passed,19-10-2022,Failed,Male,Marketing,Part-time,01-07-2020,,Layoff,28,123917,16626,4,,197,4,1,6
Shawna Green,3b008020,Internal,New hire,03-09-2023,Failed,27-08-2022,Passed,23-02-2022,Failed,Female,Finance,Full-time,03-11-2020,Involuntary,Retirement,22,149561,3804,2,27-03-2020,14,5,5,15
Douglas Farmer,92f22a15,Agency,Hired,24-01-2020,Passed,04-03-2022,Failed,19-12-2023,Failed,Male,Finance,Full-time,,Voluntary,,3,137304,10033,2,,35,10,7,12
Jennifer Johnson,f880b971,Agency,Hired,21-08-2023,Passed,28-11-2023,Failed,29-09-2020,Failed,Female,Sales,Full-time,14-10-2022,Voluntary,Termination,2,134802,12850,2,,152,10,1,4
Jamie West,2cb0ad63,Online Application,New hire,14-01-2023,Passed,09-03-2023,Failed,13-07-2022,Passed,Other,Finance,Contract,03-11-2020,,Other,16,140817,3446,2,08-02-2021,190,9,8,1
Timothy Watson,e37b3563,Agency,New hire,31-01-2022,Passed,03-01-2024,Passed,06-08-2020,Failed,Female,IT,Full-time,,Voluntary,Personal Reasons,25,57912,13616,4,,41,3,7,11
Whitney Wright,737f45e7,Internal,Hired,30-08-2024,Passed,05-08-2023,Passed,16-08-2024,Passed,Male,HR,Full-time,03-11-2020,Involuntary,,19,73654,3118,4,26-11-2023,179,10,7,7
Brian Smith,3eb414fe,Internal,Hired,27-05-2022,Failed,01-02-2021,Passed,27-02-2023,Failed,Female,Finance,Part-time,,Voluntary,Layoff,25,101641,12873,2,27-11-2023,109,9,7,2
Denise Walters,c6909aa4,Internal,Hired,24-08-2021,Failed,13-03-2021,Passed,25-11-2023,Passed,Male,IT,Full-time,06-05-2022,Voluntary,,16,148784,4294,5,28-11-2023,40,2,4,8
Mr. John Smith Jr.,27a275b3,Agency,Hired,30-12-2022,Failed,08-04-2024,Passed,25-02-2020,Failed,Male,Sales,Part-time,,Voluntary,Retirement,2,71140,3366,3,29-11-2023,169,4,9,10
Kevin Mathews,c6e299ea,Agency,Hired,15-05-2022,Failed,11-09-2023,Passed,06-07-2023,Passed,Other,IT,Full-time,,,Other,2,76648,15995,4,30-11-2023,164,2,9,13
Zachary King,5793d237,Internal,Hired,17-10-2021,Passed,17-03-2021,Failed,20-01-2023,Passed,Female,Operations,Full-time,30-05-2023,Voluntary,Retirement,10,123461,6629,1,01-12-2023,112,5,5,6
Cynthia Williams,4125ee3f,Agency,Hired,24-07-2020,Failed,15-08-2022,Failed,10-04-2024,Failed,Female,Operations,Part-time,03-11-2020,Voluntary,Personal Reasons,12,118175,10324,5,19-05-2024,2,9,8,9
Benjamin Bright,4ea6597c,Online Application,New hire,29-12-2021,Passed,17-08-2022,Failed,10-07-2023,Failed,Female,HR,Full-time,,Involuntary,Termination,26,57315,2049,4,20-05-2024,155,3,1,11
Mrs. Jordan Dennis,dc9fc103,Online Application,Hired,23-12-2020,Failed,25-08-2021,Passed,28-04-2021,Failed,Female,Sales,Contract,,Involuntary,Termination,26,66762,9635,1,21-05-2024,98,10,6,13
Amy Mayo,d072444a,Internal,Hired,09-07-2020,Failed,14-12-2020,Failed,20-09-2020,Failed,Male,Operations,Contract,,Voluntary,,22,102618,1880,3,22-05-2024,160,6,5,2
Daniel Simon,11913cec,Agency,New hire,11-05-2022,Passed,07-06-2024,Failed,26-02-2021,Failed,Male,Operations,Part-time,,,Layoff,8,72368,3876,1,23-05-2024,149,8,6,1
Dwayne Aguirre,8ad72822,Internal,Hired,13-01-2023,Passed,18-12-2023,Failed,14-02-2023,Passed,Female,Marketing,Contract,,,Layoff,22,128574,13640,2,24-05-2024,186,5,1,8
Kristina Morales,a7db528c,Online Application,Hired,30-06-2023,Failed,12-02-2020,Failed,07-04-2020,Passed,Other,Operations,Part-time,,Voluntary,Other,13,53128,15331,2,,89,9,8,9
Erica Diaz,d44c37c3,Internal,New hire,07-03-2024,Passed,12-07-2022,Passed,13-01-2021,Failed,Female,Sales,Full-time,03-11-2020,,Termination,12,65619,8807,3,28-01-2023,40,1,9,0
Rachael James,26746b08,Agency,Hired,01-09-2021,Failed,19-10-2022,Failed,14-03-2023,Failed,Other,Marketing,Contract,03-11-2020,Voluntary,Retirement,5,111827,13560,3,07-02-2024,87,6,7,13
Mariah Baker,f3bdb755,Online Application,Hired,26-06-2020,Failed,11-10-2022,Failed,13-07-2022,Passed,Female,Marketing,Part-time,21-01-2023,Voluntary,Other,5,125679,15828,2,,7,5,5,12
Matthew Hunter DDS,d7c85fd0,Online Application,New hire,22-01-2020,Failed,18-05-2023,Passed,26-10-2023,Failed,Female,Operations,Full-time,15-04-2021,,Other,15,48812,17236,4,,103,10,9,0
Vanessa Russell,a4c05245,Online Application,Hired,24-05-2024,Passed,22-05-2020,Passed,11-05-2022,Passed,Other,Operations,Part-time,,Involuntary,Layoff,30,103540,9451,1,10-10-2021,157,6,5,6
Melissa Welch,4a96c2e5,Internal,Hired,05-01-2021,Passed,29-05-2022,Failed,23-03-2021,Passed,Male,IT,Part-time,05-12-2022,Voluntary,Personal Reasons,5,66434,16106,4,25-04-2021,80,1,6,6
Samuel Freeman,d41d39ad,Online Application,New hire,13-11-2022,Failed,06-07-2020,Passed,01-10-2020,Passed,Male,Marketing,Contract,,Voluntary,Personal Reasons,16,127752,18159,1,,173,1,3,11
Amanda Stephens,155f8410,Online Application,Hired,26-01-2023,Failed,20-12-2023,Passed,19-12-2023,Passed,Other,Sales,Part-time,,Voluntary,,13,127369,4892,2,18-01-2021,134,6,3,13
Peter Brown,5a4ea3f1,Internal,New hire,25-08-2022,Failed,31-07-2023,Failed,30-07-2023,Passed,Other,HR,Contract,02-02-2024,Voluntary,Layoff,15,131359,17326,5,17-08-2023,64,10,4,14
Mrs. Melissa Riddle,93b23daa,Agency,Hired,24-03-2024,Failed,12-07-2020,Failed,01-12-2023,Passed,Male,Operations,Contract,,Involuntary,Retirement,18,137075,15126,1,,194,9,5,0
Sheila Phillips,cb1ec0aa,Online Application,Hired,02-04-2021,Passed,05-05-2021,Passed,07-08-2020,Failed,Female,Operations,Contract,,Involuntary,Other,25,127991,3370,1,,64,3,9,11
Crystal Davis,2a599f46,Internal,Hired,09-02-2023,Passed,18-05-2024,Failed,26-02-2021,Passed,Other,Sales,Full-time,13-01-2022,Involuntary,Other,11,110418,13771,1,24-04-2024,93,9,4,10
Benjamin Hayes,c81fe224,Internal,New hire,09-06-2022,Passed,18-04-2020,Passed,22-07-2024,Passed,Female,Marketing,Part-time,,Voluntary,Termination,29,87575,19779,2,15-11-2020,26,9,10,14
Jennifer Robertson,7.42E+145,Internal,Hired,02-03-2024,Failed,07-05-2024,Failed,15-11-2022,Passed,Other,IT,Contract,04-06-2021,Voluntary,,4,138058,2157,3,,152,10,2,9
Julia Reilly,6561c0258,Internal,Hired,30-10-2022,Failed,23-01-2020,Failed,29-09-2022,Passed,Female,Sales,Full-time,27-11-2023,Involuntary,Retirement,27,74813,12731,1,08-08-2020,88,1,5,11
Richard Sullivan,c99b2177,Internal,New hire,07-05-2021,Failed,21-12-2020,Failed,18-02-2023,Passed,Male,Operations,Part-time,24-08-2020,Voluntary,Layoff,22,139777,11038,1,15-08-2021,33,5,5,8
Mr. Mark Copeland,9d4d4f78,Internal,New hire,04-05-2020,Passed,15-08-2022,Failed,06-06-2024,Passed,Male,Marketing,Part-time,,Voluntary,Other,22,62988,19573,1,16-08-2021,73,7,7,13
Jacob Taylor,22f17b75,Agency,New hire,19-03-2021,Failed,25-06-2023,Passed,25-08-2021,Passed,Other,Finance,Full-time,10-05-2020,Voluntary,Personal Reasons,17,92419,1771,1,17-08-2021,97,7,9,9
Donald Johnson,3c5f111b,Internal,New hire,23-06-2021,Passed,22-12-2022,Passed,12-10-2020,Passed,Other,IT,Part-time,,,Termination,4,68888,16534,3,18-08-2021,151,9,8,5
Colton Schwartz,929bec04,Online Application,Hired,02-08-2020,Failed,14-12-2023,Failed,12-05-2020,Passed,Male,IT,Contract,,,Retirement,18,87534,9555,3,19-08-2021,190,5,1,4
Joshua Bowen,f56352eb,Internal,Hired,13-07-2020,Passed,29-05-2023,Passed,16-01-2021,Passed,Other,HR,Contract,,,Retirement,23,40728,10983,3,20-08-2021,50,4,5,4
James Aguilar,0c231ff1,Agency,Hired,29-07-2024,Passed,05-02-2022,Passed,03-06-2023,Failed,Female,Operations,Part-time,,Involuntary,Personal Reasons,17,121954,11682,5,21-08-2021,139,5,1,1
Stanley Robinson,0055cd9c,Internal,Hired,28-05-2021,Passed,15-10-2021,Failed,21-07-2020,Failed,Other,IT,Contract,16-02-2022,Involuntary,Other,15,113782,15156,2,22-08-2021,56,4,9,15
David Huffman,2b711b21,Online Application,Hired,03-03-2023,Passed,06-12-2021,Failed,18-05-2023,Failed,Female,Sales,Contract,,Involuntary,Other,20,52033,3322,4,23-08-2021,147,8,5,0
Victoria Campbell,33ebf0d2,Internal,Hired,14-12-2020,Passed,18-12-2023,Failed,27-01-2022,Passed,Female,IT,Contract,,Voluntary,Personal Reasons,7,62722,4927,4,24-08-2021,5,3,4,13
